MUN,LOC,REFUGIO,FECHA_OP,VAMP,VAMP_TX,LATITUD,LONG
Amatepec,Tepehuastitlan,Loma de la vÌvora,15/06/09,4,4,18.785092,-100.272222
Amatepec,Tepehuastitlan,Loma de la vÌvora,09/06/10,2,1,18.785092,-100.272222
Amatepec,Tepehuastitlan,Loma de la vÌvora,06/11/10,5,4,18.785092,-100.272222
Tejupilco,Paso del Guayabal,Cueva del rizco ,15/06/13,7,7,18.785853,-100.384331
Tejupilco,pinzan morado ,Mina Verde,12/06/14,12,12,18.800508,-100.237236
Tejupilco,Tirados DelegaciÛn Pinzan Morado ,Mina el toro,27/07/13,6,6,18.800589,-100.218122
Tejupilco,pinzan morado ,Mina Verde,24/04/14,8,8,18.800656,-100.219069
Tejupilco,El zapote,Cueva la presa,26/11/14,14,14,18.800806,-100.267300
Tejupilco,El Burrito (El Sauz),El aguacate,17/10/05,0,0,18.800975,-100.202319
Tejupilco,El Burrito (El Sauz),El aguacate,19/07/07,0,0,18.800975,-100.202319
Tejupilco,El Burrito (El Sauz),El aguacate,24/04/08,8,8,18.800975,-100.202319
Tejupilco,El zapote de acamuchitlan,Cueva loma de la vibora,31/08/13,6,6,18.800997,-100.268244
Tejupilco,La Calera,La calera,18/08/12,6,4,18.801139,-100.395444
Tejupilco,El Aguacate de Monte de Dios,Mina el cabrio,11/04/13,18,18,18.801664,-100.201800
Tejupilco,pinzan morado ,Mina el cerro ,23/01/14,5,1,18.801806,-100.218619
Tejupilco,pinzan morado ,Mina el Brasil,23/01/14,6,6,18.801867,-100.218381
Tejupilco,Fraguita,Cueva Alcantarilla,28/02/14,6,6,18.801908,-100.269350
Tejupilco,Juluapan (Juloapan),Cueva del rÌo ,02/09/05,7,5,18.801967,-100.118147
Tejupilco,Juluapan (Juloapan),Cueva del rÌo ,07/08/06,0,0,18.801967,-100.118147
Tejupilco,Juluapan (Juloapan),Cueva del rÌo ,17/08/08,0,0,18.801967,-100.118147
Tejupilco,El Aguacate de Monte de Dios,Mina el carrizal,05/08/05,3,3,18.802072,-100.201297
Tejupilco,El Aguacate de Monte de Dios,Mina el carrizal,08/09/06,5,4,18.802072,-100.201297
Tejupilco,El Aguacate de Monte de Dios,Mina el carrizal,17/09/07,0,0,18.802072,-100.201297
Tejupilco,El Aguacate de Monte de Dios,Mina el carrizal,17/02/09,0,0,18.802072,-100.201297
Tejupilco,El Aguacate de Monte de Dios,Mina el carrizal,19/07/10,7,6,18.802072,-100.201297
Tejupilco,El Aguacate de Monte de Dios,Mina el carrizal,06/11/10,0,0,18.802072,-100.201297
Tejupilco,El zapote,Refugio la alcantarilla,16/08/13,12,12,18.802522,-100.283861
Tejupilco,Monte de Dios,Mina el Encinal,20/03/14,11,11,18.802619,-100.217558
Tejupilco,El Zapote,Cueva la Alcantarilla,21/05/14,13,13,18.802675,-100.285175
Tejupilco,Los cuervos,Cueva la Alcantarilla,04/10/14,16,16,18.802675,-100.285175
Tejupilco,Tirados,Mina verde,21/07/05,9,7,18.803306,-100.232139
Tejupilco,Tirados,Mina verde,02/07/08,0,0,18.803306,-100.232139
Tejupilco,Tirados,Mina verde,13/07/09,8,7,18.803306,-100.232139
Tejupilco,Rio Chiquito,Cueva la presa,27/08/12,4,2,18.804583,-100.270444
Tejupilco,Salitre de acamuchitlan ,Cueva de la tambora,06/12/13,6,6,18.817631,-100.236081
Tejupilco,Tamarindo,Las charanas,21/09/12,0,0,18.818581,-100.382972
Tejupilco,Monte de Dios,Mina de Carmen Ixtapan,20/01/12,0,0,18.827944,-100.221472
Tejupilco,Monte de Dios,El carmen Ixtapan,12/04/12,0,0,18.827944,-100.221472
Tejupilco,Acamuchitlan,Rancho la parota,04/06/10,0,0,18.831167,-100.267158
Tejupilco,Acamuchitlan,Rancho la parota,26/10/12,0,0,18.831167,-100.267158
Tejupilco,Encinos Verdes,Mina del salto,14/03/05,15,14,18.833950,-100.072611
Tejupilco,Encinos Verdes,Mina del salto,12/09/05,6,5,18.833950,-100.072611
Tejupilco,Encinos Verdes,Mina del salto,19/09/07,0,0,18.833950,-100.072611
Tejupilco,Encinos Verdes,Mina del salto,03/04/08,0,0,18.833950,-100.072611
Tejupilco,Encinos Verdes,Mina del salto,23/03/10,0,0,18.833950,-100.072611
Tejupilco,Encinos Verdes,Mina del salto,17/01/11,5,0,18.833950,-100.072611
Tejupilco,Acamuchitlan,Cueva ceiba amarilla,31/10/13,12,12,18.834781,-100.934181
Malinalco,El Platanar,Cueva del rÌo ,06/12/12,8,6,18.834853,-99.451722
Tejupilco,San Mateo (San Mateo Ixtapan),Mina san Eduardo ,28/07/13,12,12,18.835028,-100.217847
Tejupilco,San Mateo (San Mateo Ixtapan),Tres barrenos,03/10/05,0,0,18.835206,-100.220139
Tejupilco,San Mateo (San Mateo Ixtapan),Tres barrenos,20/03/06,3,3,18.835206,-100.220139
