MUN,LOC,REFUGIO,FECHA_OP,VAMP,VAMP_TX,LATITUD,LONG
Santo Tomas,San Miguel Sandemialma,Cueva la huerta,31/07/14,20,20,19.183869,-100.250078
Santo Tomas,San Miguel Sandemialma,San miguel,08/08/12,10,8,19.192389,-100.264361
Santo Tomas,Salitre de la cal ,Cueva la peÒa,10/05/13,8,8,19.201822,-100.318694
Ixtapan del Oro,Tutuapan,Mina pozo hondo,11/11/14,12,12,19.234542,-100.268236
Ixtapan del Oro,Ixtapan del oro,Mina los terrados,22/11/14,17,17,19.250394,-100.267089
Ixtapan del Oro,La Calzada,Mina el terrado,10/10/12,8,7,19.252528,-100.269444
Ixtapan del Oro,La Calzada,Mina el oro,04/10/11,4,3,19.253528,-100.270781
Ixtapan del Oro,La Calzada,Mina el oro,10/10/12,6,5,19.253528,-100.270781
Ixtapan del Oro,Las minas,Mina el oro,12/11/14,18,18,19.253528,-100.270781
Otzoloapan ,Cruz Blanca,Mina las palmas,25/04/13,10,10,19.300217,-100.350064
